,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona
304,4,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
305,4,1,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Bajo
306,4,1,ciudadano_de_oro,1,1,Secundaria_completada,Retirado,Ingreso_Medio_Bajo
308,4,2,joven_adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Bajo
309,4,2,adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
312,4,2,adulto,3,3,Secundaria_completada,Ocupado,Ingreso_Bajo
313,4,2,adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
314,5,1,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
315,5,1,adulto,5,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
316,5,1,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
317,5,1,ciudadano_de_oro,1,1,Secundaria_completada,Retirado,Ingreso_Bajo
318,5,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
322,5,1,adulto,7,4,Secundaria_completada,Ocupado,Ingreso_Bajo
324,5,2,ciudadano_de_oro,5,1,Secundaria_completada,Retirado,Ingreso_Bajo
326,5,2,adulto,1,1,Secundaria_completada,Retirado,Ingreso_Bajo
327,5,2,adulto,5,1,Secundaria_completada,Ocupado,Ingreso_Bajo
328,5,2,adulto,2,6,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
329,5,2,adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
330,6,1,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
331,6,1,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
332,6,1,adulto,7,5,Universidad_completada,Ocupado,Ingreso_Medio_Alto
333,6,1,adulto,6,5,Universidad_completada,Retirado,Ingreso_Bajo
334,6,1,adulto,1,5,Universidad_completada,Ocupado,Ingreso_Alto
336,6,2,joven_adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Bajo
337,6,2,adulto,3,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
340,6,2,joven_adulto,7,5,Secundaria_completada,Ocupado,Ingreso_Bajo
342,6,2,adulto,6,1,Secundaria_completada,Ocupado,Ingreso_Bajo
344,6,2,joven_adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
